,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.7027027027027027,0.044596912521440824,0.08387096774193549,583.0
2,0.6188524590163934,0.07385668867693812,0.13196416866943414,4089.0
3,0.5775552726009955,0.8964247215235358,0.7024991200281591,11132.0
4,0.30323846908734053,0.6116793137578357,0.4054674685620558,6062.0
5,0.9986879510168379,0.9680462084680197,0.9831283803783333,18871.0
6,0.9433767100433768,0.7641351351351351,0.8443482156189338,37000.0
7,0.8897290485192186,0.8077803203661327,0.846776611694153,3496.0
8,0.41878172588832485,0.4365079365079365,0.4274611398963731,378.0
9,0.6842105263157895,0.29545454545454547,0.4126984126984127,44.0
accuracy,0.7719720157411456,0.7719720157411456,0.7719720157411456,0.7719720157411456
macro avg,0.613713486519098,0.489848178241152,0.483821448528779,82332.0
weighted avg,0.8290557302046107,0.7719720157411456,0.7749141521887227,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,33.68,33.68,33.68,33.68
feature_selection_method,chi2,chi2,chi2,chi2
k,20,20,20,20
feature_selection_time,0.07,0.07,0.07,0.07
recall,0.7719720157411456,0.7719720157411456,0.7719720157411456,0.7719720157411456
precision,0.8290557302046107,0.8290557302046107,0.8290557302046107,0.8290557302046107
f1_score,0.7749141521887227,0.7749141521887227,0.7749141521887227,0.7749141521887227
