,precision,recall,f1-score,support
0,0.005253940455341506,0.004431314623338257,0.004807692307692308,677.0
1,0.035955056179775284,0.0274442538593482,0.0311284046692607,583.0
2,0.1628630705394191,0.07679139153827341,0.10437094897789596,4089.0
3,0.5200885958586587,0.9070247933884298,0.6611012898579192,11132.0
4,0.2673799988044713,0.7378752886836027,0.3925233644859813,6062.0
5,0.9991764576699242,0.9643898044618727,0.9814749898880949,18871.0
6,0.9810352725606963,0.5788108108108108,0.7280639129695734,37000.0
7,0.9312311304931231,0.7940503432494279,0.8571869692758993,3496.0
8,0.505,0.2671957671957672,0.3494809688581315,378.0
9,0.7,0.3181818181818182,0.4375,44.0
accuracy,0.6972865957343439,0.6972865957343439,0.6972865957343439,0.6972865957343439
macro avg,0.510798352256141,0.46761955859926896,0.4547638541290448,82332.0
weighted avg,0.8105230974878166,0.6972865957343439,0.7141195457060056,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,33.36,33.36,33.36,33.36
feature_selection_method,anova,anova,anova,anova
k,20,20,20,20
feature_selection_time,0.09,0.09,0.09,0.09
recall,0.6972865957343439,0.6972865957343439,0.6972865957343439,0.6972865957343439
precision,0.8105230974878166,0.8105230974878166,0.8105230974878166,0.8105230974878166
f1_score,0.7141195457060056,0.7141195457060056,0.7141195457060056,0.7141195457060056
