,precision,recall,f1-score,support
0,0.0028653295128939827,0.0014771048744460858,0.001949317738791423,677.0
1,0.4482758620689655,0.044596912521440824,0.0811232449297972,583.0
2,0.527536231884058,0.04450966006358523,0.08209291835814163,4089.0
3,0.5603423842185817,0.8879805964786202,0.6871024919195079,11132.0
4,0.3171732239418236,0.5612009237875288,0.405289492494639,6062.0
5,0.9994503078276166,0.9634889513009379,0.9811402207052856,18871.0
6,0.9395559210526315,0.8028378378378378,0.8658330418561269,37000.0
7,0.9151158994449886,0.8017734553775744,0.8547034608934289,3496.0
8,0.34177215189873417,0.2857142857142857,0.3112391930835735,378.0
9,0.5769230769230769,0.3409090909090909,0.42857142857142855,44.0
accuracy,0.7810936209493271,0.7810936209493271,0.7810936209493271,0.7810936209493271
macro avg,0.5629010388773371,0.4734488818865348,0.46990448105507204,82332.0
weighted avg,0.8205658956872329,0.7810936209493271,0.7793500806169221,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,30.85,30.85,30.85,30.85
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,10,10,10,10
feature_selection_time,16.93,16.93,16.93,16.93
recall,0.7810936209493271,0.7810936209493271,0.7810936209493271,0.7810936209493271
precision,0.8205658956872329,0.8205658956872329,0.8205658956872329,0.8205658956872329
f1_score,0.7793500806169221,0.7793500806169221,0.7793500806169221,0.7793500806169221
