,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.16666666666666666,0.0017152658662092624,0.003395585738539898,583.0
2,0.2895927601809955,0.09391049156272928,0.14182825484764544,4089.0
3,0.4860310637882192,0.8939094502335609,0.6296905650825793,11132.0
4,0.2671402295934547,0.6948201913559882,0.3859086536259105,6062.0
5,0.998629611357781,0.9653966403476233,0.981731960985073,18871.0
6,0.9844177628674847,0.6027297297297297,0.7476782780702048,37000.0
7,0.8443295834600183,0.7943363844393593,0.8185703758290346,3496.0
8,0.5138888888888888,0.29365079365079366,0.37373737373737376,378.0
9,0.5483870967741935,0.38636363636363635,0.4533333333333333,44.0
accuracy,0.7041247631540591,0.7041247631540591,0.7041247631540591,0.7041247631540591
macro avg,0.5099083663577704,0.472683258354963,0.4535874381249695,82332.0
weighted avg,0.8107414518655764,0.7041247631540591,0.7183635833153783,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,29.31,29.31,29.31,29.31
feature_selection_method,rfe,rfe,rfe,rfe
k,10,10,10,10
feature_selection_time,74.66,74.66,74.66,74.66
recall,0.7041247631540591,0.7041247631540591,0.7041247631540591,0.7041247631540591
precision,0.8107414518655764,0.8107414518655764,0.8107414518655764,0.8107414518655764
f1_score,0.7183635833153783,0.7183635833153783,0.7183635833153783,0.7183635833153783
