,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.6666666666666666,0.048027444253859346,0.0896,583.0
2,0.73989898989899,0.07165566153093667,0.1306577480490524,4089.0
3,0.5544768069039914,0.9234638878907654,0.6929091399299002,11132.0
4,0.32300209803547586,0.5587264929066315,0.4093546047860769,6062.0
5,0.9989608969100355,0.9679402257432038,0.9832059425126494,18871.0
6,0.9479136032415123,0.784027027027027,0.8582163513453545,37000.0
7,0.8504196642685852,0.8114988558352403,0.830503512880562,3496.0
8,0.33223684210526316,0.2671957671957672,0.2961876832844575,378.0
9,0.64,0.36363636363636365,0.463768115942029,44.0
accuracy,0.7799761939464607,0.7799761939464607,0.7799761939464607,0.7799761939464607
macro avg,0.6053575568030519,0.47961717260197945,0.47544030987300817,82332.0
weighted avg,0.8331583739886548,0.7799761939464607,0.7788631134313895,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,33.51,33.51,33.51,33.51
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,500.0,500.0,500.0,500.0
feature_selection_time,0.09,0.09,0.09,0.09
recall,0.7799761939464607,0.7799761939464607,0.7799761939464607,0.7799761939464607
precision,0.8331583739886548,0.8331583739886548,0.8331583739886548,0.8331583739886548
f1_score,0.7788631134313895,0.7788631134313895,0.7788631134313895,0.7788631134313895
