,precision,recall,f1-score,support
0,0.007194244604316547,0.011816838995568686,0.008943543879262158,677.0
1,0.04523809523809524,0.032590051457975985,0.03788634097706879,583.0
2,0.38183694530443757,0.0904866715578381,0.14630288651640966,4089.0
3,0.5331276473356691,0.9158282429033417,0.6739381920343744,11132.0
4,0.2705072772669143,0.7327614648630815,0.39514299693101457,6062.0
5,0.9987966305655837,0.9676222775687563,0.982962344898124,18871.0
6,0.981387181738367,0.6042162162162162,0.7479424556707929,37000.0
7,0.9312645979312646,0.7983409610983981,0.8596950562143847,3496.0
8,0.5352112676056338,0.30158730158730157,0.38578680203045684,378.0
9,0.6666666666666666,0.22727272727272727,0.3389830508474576,44.0
accuracy,0.7113273089442744,0.7113273089442744,0.7113273089442744,0.7113273089442744
macro avg,0.5351230554256949,0.4682522753521205,0.45775836699993455,82332.0
weighted avg,0.8236667253799512,0.7113273089442744,0.7277073516057679,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,35.77,35.77,35.77,35.77
feature_selection_method,none,none,none,none
k,,,,
feature_selection_time,0,0,0,0
recall,0.7113273089442744,0.7113273089442744,0.7113273089442744,0.7113273089442744
precision,0.8236667253799512,0.8236667253799512,0.8236667253799512,0.8236667253799512
f1_score,0.7277073516057679,0.7277073516057679,0.7277073516057679,0.7277073516057679
