,precision,recall,f1-score,support
0,0.010822510822510822,0.014771048744460856,0.012492192379762648,677.0
1,0.04217687074829932,0.05317324185248713,0.04704097116843703,583.0
2,0.2806462943449245,0.19540229885057472,0.23039215686274508,4089.0
3,0.5690915627996165,0.8531261228889687,0.6827462257368799,11132.0
4,0.2513389200428454,0.6580336522599802,0.3637441298499977,6062.0
5,0.9953867028493895,0.9718615865613905,0.9834834834834835,18871.0
6,0.9795683330489677,0.6206756756756757,0.7598769108596387,37000.0
7,0.9255388634879164,0.8106407322654462,0.8642878926501982,3496.0
8,0.5359477124183006,0.43386243386243384,0.47953216374269003,378.0
9,0.5333333333333333,0.36363636363636365,0.43243243243243246,44.0
accuracy,0.7122989845989409,0.7122989845989409,0.7122989845989409,0.7122989845989409
macro avg,0.5123851103896104,0.4975183156597781,0.48560285591662655,82332.0
weighted avg,0.8201905944764092,0.7122989845989409,0.7370148509224603,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
model_training_time,9.7,9.7,9.7,9.7
feature_selection_method,none,none,none,none
n_features,,,,
feature_selection_time,0,0,0,0
recall,0.7122989845989409,0.7122989845989409,0.7122989845989409,0.7122989845989409
precision,0.8201905944764092,0.8201905944764092,0.8201905944764092,0.8201905944764092
f1_score,0.7370148509224603,0.7370148509224603,0.7370148509224603,0.7370148509224603
