,precision,recall,f1-score,support
0,0.033984706881903144,0.059084194977843424,0.043149946062567425,677.0
1,0.005541871921182266,0.015437392795883362,0.008155867693701857,583.0
2,0.1997126436781609,0.033993641477133775,0.058098223615464996,4089.0
3,0.6125574272588055,0.6467840459935321,0.6292056278947828,11132.0
4,0.1786939475618721,0.4811943253051798,0.2606093093897972,6062.0
5,0.9042882550556617,0.7274654231360288,0.8062962527898508,18871.0
6,0.8982908468223967,0.7514324324324324,0.8183249694632897,37000.0
7,0.4006183745583039,0.5188787185354691,0.4521435692921236,3496.0
8,0.04,0.007936507936507936,0.013245033112582781,378.0
9,0.045454545454545456,0.022727272727272728,0.030303030303030304,44.0
accuracy,0.6516785696934363,0.6516785696934363,0.6516785696934363,0.6516785696934363
macro avg,0.33191426191928314,0.32649339553172835,0.31195318296171914,82332.0
weighted avg,0.7343968612361427,0.6516785696934363,0.6793996992007146,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,30.93,30.93,30.93,30.93
feature_selection_method,anova,anova,anova,anova
k,10,10,10,10
feature_selection_time,0.11,0.11,0.11,0.11
recall,0.6516785696934363,0.6516785696934363,0.6516785696934363,0.6516785696934363
precision,0.7343968612361427,0.7343968612361427,0.7343968612361427,0.7343968612361427
f1_score,0.6793996992007146,0.6793996992007146,0.6793996992007146,0.6793996992007146
