,precision,recall,f1-score,support
0,0.9333810655124158,0.7751351351351351,0.8469295849513488,37000.0
1,0.8387753124697219,0.9548442601252978,0.8930542517305053,45332.0
accuracy,0.8740829811009085,0.8740829811009085,0.8740829811009085,0.8740829811009085
macro avg,0.8860781889910689,0.8649896976302165,0.869991918340927,82332.0
weighted avg,0.8812911369678474,0.8740829811009085,0.8723258269281347,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.15,4.15,4.15,4.15
feature_selection_method,chi2,chi2,chi2,chi2
k,30,30,30,30
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.8740829811009085,0.8740829811009085,0.8740829811009085,0.8740829811009085
precision,0.8812911369678474,0.8812911369678474,0.8812911369678474,0.8812911369678474
f1_score,0.8723258269281347,0.8723258269281347,0.8723258269281347,0.8723258269281347
