,precision,recall,f1-score,support
0,0.9351730179588261,0.7501351351351352,0.8324959882421752,37000.0
1,0.8244164624997626,0.9575575752228007,0.8860131652804001,45332.0
accuracy,0.8643419326628772,0.8643419326628772,0.8643419326628772,0.8643419326628772
macro avg,0.8797947402292944,0.8538463551789679,0.8592545767612876,82332.0
weighted avg,0.8741904574468713,0.8643419326628772,0.861962546439435,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.92,4.92,4.92,4.92
feature_selection_method,anova,anova,anova,anova
k,30,30,30,30
feature_selection_time,0.11,0.11,0.11,0.11
recall,0.8643419326628772,0.8643419326628772,0.8643419326628772,0.8643419326628772
precision,0.8741904574468713,0.8741904574468713,0.8741904574468713,0.8741904574468713
f1_score,0.861962546439435,0.861962546439435,0.861962546439435,0.861962546439435
