,precision,recall,f1-score,support
0,0.9312567473169493,0.7926756756756757,0.8563961806873595,37000.0
1,0.8491089342617727,0.952241242389482,0.8977227825725278,45332.0
accuracy,0.8805324782587572,0.8805324782587572,0.8805324782587572,0.8805324782587572
macro avg,0.890182840789361,0.8724584590325788,0.8770594816299436,82332.0
weighted avg,0.8860261606505586,0.8805324782587572,0.8791506080868937,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,3.96,3.96,3.96,3.96
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,100.0,100.0,100.0,100.0
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.8805324782587572,0.8805324782587572,0.8805324782587572,0.8805324782587572
precision,0.8860261606505586,0.8860261606505586,0.8860261606505586,0.8860261606505586
f1_score,0.8791506080868937,0.8791506080868937,0.8791506080868937,0.8791506080868937
