,precision,recall,f1-score,support
0,0.018867924528301886,0.01624815361890694,0.01746031746031746,677.0
1,0.05325443786982249,0.06174957118353345,0.057188244638602066,583.0
2,0.2730899048787972,0.21765712888236732,0.2422427871529668,4089.0
3,0.5658872901678657,0.8479159180740209,0.6787717532000576,11132.0
4,0.27342560553633216,0.6517650940283735,0.38523790951638065,6062.0
5,0.9954318033500109,0.9699538975147051,0.9825277114254274,18871.0
6,0.9715498769938894,0.6617567567567567,0.7872737211022154,37000.0
7,0.9053430079155673,0.7851830663615561,0.8409926470588235,3496.0
8,0.6923076923076923,0.07142857142857142,0.12949640287769784,378.0
9,0.6086956521739131,0.3181818181818182,0.417910447761194,44.0
accuracy,0.7275664383228878,0.7275664383228878,0.7275664383228878,0.7275664383228878
macro avg,0.5357853195722193,0.46018399760306095,0.4539101942193683,82332.0
weighted avg,0.8174603065636185,0.7275664383228878,0.7482503476111704,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,50.78,50.78,50.78,50.78
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,20,20,20,20
feature_selection_time,25.19,25.19,25.19,25.19
recall,0.7275664383228878,0.7275664383228878,0.7275664383228878,0.7275664383228878
precision,0.8174603065636185,0.8174603065636185,0.8174603065636185,0.8174603065636185
f1_score,0.7482503476111704,0.7482503476111704,0.7482503476111704,0.7482503476111704
