,precision,recall,f1-score,support
0,0.02952433023510115,0.07976366322008863,0.04309656823623304,677.0
1,0.04002624671916011,0.10463121783876501,0.05790223065970574,583.0
2,0.3685196752029981,0.14428955734898508,0.20738137082601055,4089.0
3,0.616929799830843,0.7862917714696371,0.6913902053712481,11132.0
4,0.29399603755706777,0.5630155064335203,0.3862826099258672,6062.0
5,0.9968961010673056,0.9701128716019289,0.9833221431448905,18871.0
6,0.9410072429432073,0.7514324324324324,0.835602440417155,37000.0
7,0.8822236180904522,0.8034897025171625,0.8410179640718562,3496.0
8,0.4488888888888889,0.5343915343915344,0.48792270531400966,378.0
9,0.40540540540540543,0.3409090909090909,0.37037037037037035,44.0
accuracy,0.7531336539862994,0.7531336539862994,0.7531336539862994,0.7531336539862994
macro avg,0.502341734594043,0.5078327348163145,0.4904288608337347,82332.0
weighted avg,0.8150115709022159,0.7531336539862994,0.7720401434443911,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,42.75,42.75,42.75,42.75
feature_selection_method,chi2,chi2,chi2,chi2
k,20,20,20,20
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.7531336539862994,0.7531336539862994,0.7531336539862994,0.7531336539862994
precision,0.8150115709022159,0.8150115709022159,0.8150115709022159,0.8150115709022159
f1_score,0.7720401434443911,0.7720401434443911,0.7720401434443911,0.7720401434443911
