,precision,recall,f1-score,support
0,0.020497803806734993,0.0413589364844904,0.02741067058247675,677.0
1,0.0363262508567512,0.09090909090909091,0.05190989226248776,583.0
2,0.3068181818181818,0.11225238444607484,0.16436884512085945,4089.0
3,0.5567473633748802,0.8346209126841538,0.6679367361610352,11132.0
4,0.2698287738634127,0.6784889475420653,0.3861065477587421,6062.0
5,0.9963999345442645,0.9679932171056118,0.9819911837436834,18871.0
6,0.9734337666545175,0.6496486486486487,0.7792456194381858,37000.0
7,0.9187562688064193,0.7860411899313501,0.8472329273932481,3496.0
8,0.7045454545454546,0.082010582010582,0.14691943127962084,378.0
9,0.5263157894736842,0.22727272727272727,0.31746031746031744,44.0
accuracy,0.7170601953068065,0.7170601953068065,0.7170601953068065,0.7170601953068065
macro avg,0.5309669587744301,0.4470596637034796,0.4370582171200656,82332.0
weighted avg,0.8191785570912232,0.7170601953068065,0.7395866491659302,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,40.12,40.12,40.12,40.12
feature_selection_method,anova,anova,anova,anova
k,30,30,30,30
feature_selection_time,0.12,0.12,0.12,0.12
recall,0.7170601953068065,0.7170601953068065,0.7170601953068065,0.7170601953068065
precision,0.8191785570912232,0.8191785570912232,0.8191785570912232,0.8191785570912232
f1_score,0.7395866491659302,0.7395866491659302,0.7395866491659302,0.7395866491659302
