,precision,recall,f1-score,support
0,0.9271248339973439,0.7547297297297297,0.8320917759237187,37000.0
1,0.8261893817513215,0.9515794582193594,0.8844623964569835,45332.0
accuracy,0.8631151921488607,0.8631151921488607,0.8631151921488607,0.8631151921488607
macro avg,0.8766571078743327,0.8531545939745446,0.8582770861903511,82332.0
weighted avg,0.8715497730099188,0.8631151921488607,0.860927040098207,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.67,4.67,4.67,4.67
feature_selection_method,chi2,chi2,chi2,chi2
k,20,20,20,20
feature_selection_time,0.07,0.07,0.07,0.07
recall,0.8631151921488607,0.8631151921488607,0.8631151921488607,0.8631151921488607
precision,0.8715497730099188,0.8715497730099188,0.8715497730099188,0.8715497730099188
f1_score,0.860927040098207,0.860927040098207,0.860927040098207,0.860927040098207
