,precision,recall,f1-score,support
0,0.9298239709198614,0.7466486486486487,0.8282292275636701,37000.0
1,0.8218581934968929,0.9540060001764757,0.8830153236756404,45332.0
accuracy,0.8608196084147112,0.8608196084147112,0.8608196084147112,0.8608196084147112
macro avg,0.8758410822083771,0.8503273244125622,0.8556222756196552,82332.0
weighted avg,0.8703780128216977,0.8608196084147112,0.8583944526152641,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.28,4.28,4.28,4.28
feature_selection_method,anova,anova,anova,anova
k,20,20,20,20
feature_selection_time,0.12,0.12,0.12,0.12
recall,0.8608196084147112,0.8608196084147112,0.8608196084147112,0.8608196084147112
precision,0.8703780128216977,0.8703780128216977,0.8703780128216977,0.8703780128216977
f1_score,0.8583944526152641,0.8583944526152641,0.8583944526152641,0.8583944526152641
