,precision,recall,f1-score,support
0,0.9385029276784301,0.8014054054054054,0.8645528099715722,37000.0
1,0.8551747245599858,0.9571384452483896,0.9032882615620023,45332.0
accuracy,0.8871520186561725,0.8871520186561725,0.8871520186561725,0.8871520186561725
macro avg,0.896838826119208,0.8792719253268975,0.8839205357667872,82332.0
weighted avg,0.8926224182317349,0.8871520186561725,0.885880549993646,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,3.93,3.93,3.93,3.93
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,1000.0,1000.0,1000.0,1000.0
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.8871520186561725,0.8871520186561725,0.8871520186561725,0.8871520186561725
precision,0.8926224182317349,0.8926224182317349,0.8926224182317349,0.8926224182317349
f1_score,0.885880549993646,0.885880549993646,0.885880549993646,0.885880549993646
