,precision,recall,f1-score,support
0,0.0,0.0,0.0,677.0
1,0.28125,0.04631217838765009,0.07952871870397643,583.0
2,0.5364806866952789,0.09170946441672781,0.15664160401002505,4089.0
3,0.5422287231160952,0.8991196550485088,0.6764894731506201,11132.0
4,0.31013936578469,0.5065984823490597,0.38474066649962413,6062.0
5,0.9979850786908457,0.9711197074876795,0.9843691249932857,18871.0
6,0.9390164148845727,0.7761351351351351,0.8498416738184724,37000.0
7,0.8281157708210277,0.8020594965675057,0.8148793955245568,3496.0
8,0.23268698060941828,0.2222222222222222,0.2273342354533153,378.0
9,0.5384615384615384,0.3181818181818182,0.4,44.0
accuracy,0.7703808968566292,0.7703808968566292,0.7703808968566292,0.7703808968566292
macro avg,0.5206364559063467,0.4633458159796307,0.4573824892153876,82332.0
weighted avg,0.8120429207461167,0.7703808968566292,0.7715393029930259,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,46.71,46.71,46.71,46.71
feature_selection_method,variance_threshold,variance_threshold,variance_threshold,variance_threshold
k,1000.0,1000.0,1000.0,1000.0
feature_selection_time,0.08,0.08,0.08,0.08
recall,0.7703808968566292,0.7703808968566292,0.7703808968566292,0.7703808968566292
precision,0.8120429207461167,0.8120429207461167,0.8120429207461167,0.8120429207461167
f1_score,0.7715393029930259,0.7715393029930259,0.7715393029930259,0.7715393029930259
