,precision,recall,f1-score,support
0,0.03513174404015056,0.0413589364844904,0.037991858887381276,677.0
1,0.023368251410153102,0.09948542024013722,0.03784665579119086,583.0
2,0.3297604035308953,0.12790413303986306,0.1843171806167401,4089.0
3,0.5658943466172381,0.8227632051742724,0.6705714390306403,11132.0
4,0.2692569406641263,0.6527548663807324,0.38125060217747375,6062.0
5,0.9963527490473598,0.9699009061522972,0.9829489004054671,18871.0
6,0.9691431756649148,0.6578648648648648,0.7837272200399253,37000.0
7,0.9071688140072679,0.7854691075514875,0.8419438908477694,3496.0
8,0.62,0.082010582010582,0.14485981308411214,378.0
9,0.5217391304347826,0.2727272727272727,0.3582089552238806,44.0
accuracy,0.7185298547344896,0.7185298547344896,0.7185298547344896,0.7185298547344896
macro avg,0.5237815555416889,0.45122392946260004,0.44236665161045813,82332.0
weighted avg,0.8187195566068757,0.7185298547344896,0.7425847827920137,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,multi,multi,multi,multi
pca,none,none,none,none
model_training_time,57.87,57.87,57.87,57.87
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,30,30,30,30
feature_selection_time,20.31,20.31,20.31,20.31
recall,0.7185298547344896,0.7185298547344896,0.7185298547344896,0.7185298547344896
precision,0.8187195566068757,0.8187195566068757,0.8187195566068757,0.8187195566068757
f1_score,0.7425847827920137,0.7425847827920137,0.7425847827920137,0.7425847827920137
