,precision,recall,f1-score,support
0,0.9416835868588357,0.7646216216216216,0.8439658129856957,37000.0
1,0.8334448928072826,0.9613518044648373,0.8928406797717704,45332.0
accuracy,0.8729412622066755,0.8729412622066755,0.8729412622066755,0.8729412622066755
macro avg,0.8875642398330592,0.8629867130432294,0.868403246378733,82332.0
weighted avg,0.8820873608623216,0.8729412622066755,0.8708763151130136,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.65,4.65,4.65,4.65
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,10,10,10,10
feature_selection_time,21.18,21.18,21.18,21.18
recall,0.8729412622066755,0.8729412622066755,0.8729412622066755,0.8729412622066755
precision,0.8820873608623216,0.8820873608623216,0.8820873608623216,0.8820873608623216
f1_score,0.8708763151130136,0.8708763151130136,0.8708763151130136,0.8708763151130136
