,precision,recall,f1-score,support
0,0.9349399147176638,0.7822162162162162,0.8517864500559186,37000.0
1,0.843156337589536,0.9555722227124327,0.8958514290441328,45332.0
accuracy,0.8776660350774911,0.8776660350774911,0.8776660350774911,0.8776660350774911
macro avg,0.8890481261535998,0.8688942194643244,0.8738189395500258,82332.0
weighted avg,0.8844038762590779,0.8776660350774911,0.8760486279149979,82332.0
,,,,
model_name,xgbclassifier,xgbclassifier,xgbclassifier,xgbclassifier
task,binary,binary,binary,binary
pca,none,none,none,none
model_training_time,4.86,4.86,4.86,4.86
feature_selection_method,mutual_information,mutual_information,mutual_information,mutual_information
k,30,30,30,30
feature_selection_time,20.99,20.99,20.99,20.99
recall,0.8776660350774911,0.8776660350774911,0.8776660350774911,0.8776660350774911
precision,0.8844038762590779,0.8844038762590779,0.8844038762590779,0.8844038762590779
f1_score,0.8760486279149979,0.8760486279149979,0.8760486279149979,0.8760486279149979
